subset,interaction,est,se,t,p,p.adj
attitude.anti,recsys.31:pol_interest_hi,-0.00899836916864386,0.0153411205259239,-0.58655227650667,0.557696559660319,0.857994707169722
attitude.pro,recsys.31:pol_interest_hi,0.0101916292677968,0.0230794567712358,0.441588784728192,0.658979637074729,0.878639516099638
attitude.neutral.seed.anti,recsys.31:pol_interest_hi,0.030682012366243,0.038958030807142,0.787565791457258,0.431818101666837,0.857994707169722
attitude.neutral.seed.pro,recsys.31:pol_interest_hi,0.0565377191102025,0.0459616499656057,1.23010638548684,0.220109462243972,0.857994707169722
attitude.anti,recsys.31:age_hi,-0.00930573991952424,0.0154027722400374,-0.604160067713997,0.545936390617525,0.857994707169722
attitude.pro,recsys.31:age_hi,0.00147960030396346,0.0228216612387333,0.064833155154028,0.948333017012056,0.951099516538195
attitude.neutral.seed.anti,recsys.31:age_hi,-0.0324339565536826,0.0360832317340826,-0.898865068204159,0.369730103332226,0.857994707169722
attitude.neutral.seed.pro,recsys.31:age_hi,-0.0388495319039026,0.044864780708668,-0.865924925749092,0.387574103991725,0.857994707169722
attitude.anti,recsys.31:male,0.0258826333052766,0.0160204261947907,1.61560204395141,0.106638160596636,0.857994707169722
attitude.pro,recsys.31:male,0.00148569381556826,0.0225326845700745,0.0659350558495549,0.94745615155335,0.951099516538195
attitude.neutral.seed.anti,recsys.31:male,0.00211862994946217,0.0345066633824137,0.061397705306446,0.951099516538195,0.951099516538195
attitude.neutral.seed.pro,recsys.31:male,-0.0462771218205186,0.0442544294696983,-1.04570598638505,0.296965318068975,0.857994707169722
attitude.anti,recsys.31:freq_youtube_hi,0.00848352448097551,0.0163940906282979,0.517474538437164,0.604991029680257,0.864272899543224
attitude.pro,recsys.31:freq_youtube_hi,0.0153670636441623,0.0228794387645914,0.671653872381896,0.502117403942281,0.857994707169722
attitude.neutral.seed.anti,recsys.31:freq_youtube_hi,-0.00211441465639805,0.0338713614041602,-0.062424850042737,0.950282500644784,0.951099516538195
attitude.neutral.seed.pro,recsys.31:freq_youtube_hi,0.0349506876656422,0.0448625135893399,0.779062180634192,0.436868536438086,0.857994707169722
attitude.anti,recsys.31:college,-0.0140362494653363,0.0192812728375835,-0.72797317809727,0.466877321712193,0.857994707169722
attitude.pro,recsys.31:college,0.0302375248335922,0.0226993974409472,1.33208491160418,0.18344525979046,0.857994707169722
attitude.neutral.seed.anti,recsys.31:college,0.0111761135780482,0.0361717169128484,0.308973820761004,0.757640639006234,0.947050798757793
attitude.neutral.seed.pro,recsys.31:college,0.0754008811292953,0.0510769198543532,1.47622216344099,0.141464870921824,0.857994707169722
