start_date,end_date,status,ip_address,progress,duration_in_seconds,finished,recorded_date,response_id,recipient_last_name,recipient_first_name,recipient_email,external_reference,location_latitude,location_longitude,distribution_channel,user_language,q62,q81,q82,q99,q100,q66_first_click,q66_last_click,q66_page_submit,q66_click_count,q57_1,q57_2,q57_3,q57_4,q57_5,q57_6,q59_1,q59_2,q59_3,q59_4,q90_2,q90_5,q90_11,q90_12,q96_1,q96_2,q96_3,q96_4,q98,q100_1,q61,q62_1,q92,q94,q19,q20,q21,q22,q23,comments,q97,qid,ytid,video_link,worker_id,assignment_id,hit_id,treatment_arm,start_date_w2,end_date_w2,survey_time_w2,right_to_own_importance_w2,assault_ban_w2,handgun_ban_w2,concealed_safe_w2,stricter_laws_w2,gun_index_w2,gun_index_2_w2,trust_majornews,trust_localnews,trust_social,trust_youtube,fabricate_majornews,fabricate_youtube,media_trust,smart_dems,smart_reps,comfort_dems,comfort_reps,ft_dems,ft_reps
2021-06-17 18:55:45,2021-06-17 19:00:58,IP Address,140.180.240.98,100,313,True,2021-06-17 19:00:58,R_2z8gTaxEoHlcsll,NA,NA,NA,NA,40.369903564453125,-74.63809967041015625,anonymous,EN,I agree to participate ,Quick and easy,wikiHow,NA,NA,3.814,3.814,255.765,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not too much,Not too much,Not too much,Not too much,About half the time,Most of the time,Somewhat,Somewhat,Somewhat comfortable,Not too comfortable,Regulate gun ownership,Neither support nor oppose,Somewhat support,No difference,Neither support nor oppose,NA,NA,95420,NA,https://videoexperiment.online/?startvid=UnExjakUlQg000001&topicid=UnExjakUlQg_june2021_22_15_a&allowDupe=1&id=95420,129e6fee632de14de955ca191ea7fb45d8cc6931f016585ff4c1e6d54dec55f3,NA,NA,anti_22,2021-06-17T18:55:45Z,2021-06-17T19:00:58Z,313,0,0.5,0.25,0.5,0.5,0.35,0.3125,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.25,0.3333333333333333,0.5,0.5,0.6666666666666666,0.3333333333333333,NA,NA
2021-06-17 22:19:03,2021-06-17 22:20:27,IP Address,154.22.56.5,100,84,True,2021-06-17 22:20:27,R_ZfppLVXnZKqH6NP,NA,NA,NA,NA,37.751007080078125,-97.82199859619140625,anonymous,EN,I agree to participate ,Quick and easy,wikiHow,NA,NA,NA,NA,NA,NA,"Full understanding
5
",4,"Full understanding
5
",4,"Full understanding
5
","Full understanding
5
",Slightly agree,Somewhat agree,Slightly agree,Somewhat disagree,78,53,50,73,Some,Some,Some,Some,About half the time,About half the time,Somewhat,Very,Somewhat comfortable,Somewhat comfortable,Regulate gun ownership,Somewhat support,Somewhat support,No difference,Somewhat support,NA,NA,36879,NA,NA,867d235ae6f5003c1d168ca2bd8d5e0569a9b5d36c2b3f158498d2309236dfe8,39ASUFLU6X7XGENE99LETZZ23RLXE9,3V0TR1NRV9106FKYJRCLBLHQW7HA4G,control,2021-06-17T22:19:03Z,2021-06-17T22:20:27Z,84,0,0.25,0.25,0.5,0.25,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,0.6666666666666666,0.6666666666666666,50,73
2021-06-17 22:18:59,2021-06-17 22:21:27,IP Address,68.52.169.244,100,147,True,2021-06-17 22:21:27,R_D7RM576m1d8S1sR,NA,NA,NA,NA,36.1768951416015625,-86.7339019775390625,anonymous,EN,I agree to participate ,Quick and easy,wikiHow,NA,NA,NA,NA,NA,NA,"Full understanding
5
","Full understanding
5
","Full understanding
5
","Full understanding
5
","Full understanding
5
","Full understanding
5
",Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,0,39,32,24,Some,Some,Not at all,Not at all,Once in a while,About half the time,Very,Very,Extremely comfortable,Extremely comfortable,Regulate gun ownership,Somewhat support,Strongly oppose,No difference,Somewhat support,NA,None,63691,NA,NA,6f3503b6b6b4500b7062ebd200585c9d7d971ecdb1f39c244829f528bb7cdf18,3KIBXJ1WD5UD851W449L8HLEBKCKOB,3MNJFORX8A3DYP568CHNUEYVTJP5FT,control,2021-06-17T22:18:59Z,2021-06-17T22:21:27Z,148,0,0.25,1,0.5,0.25,0.4,0.4375,0.6666666666666666,0.6666666666666666,0,0,0.75,0.5,0.6666666666666666,0.75,0.75,1,1,32,24
2021-06-17 22:20:41,2021-06-17 22:22:31,IP Address,63.75.246.55,100,109,True,2021-06-17 22:22:31,R_3saF9De5nbom6Z8,NA,NA,NA,NA,37.751007080078125,-97.82199859619140625,anonymous,EN,I agree to participate ,Quick and easy,wikiHow,NA,NA,NA,NA,NA,NA,"Full understanding
5
","Full understanding
5
","Full understanding
5
","Full understanding
5
","Full understanding
5
","Full understanding
5
",Slightly agree,Somewhat agree,Somewhat agree,Somewhat disagree,71,54,50,64,Some,A lot,A lot,Some,Once in a while,Once in a while,Somewhat,Very,Somewhat comfortable,Somewhat comfortable,Regulate gun ownership,Somewhat support,Strongly support,Somewhat safer,Somewhat support,NA,NA,38965,NA,NA,7db1cf3f0605b3a268c19fd3e238e62d53ad673371c12f85b2a07fef7a3fc442,3DBQWDE4Y6YS81GHW252R32ROKCN5E,3XUSYT70IS0H5Y59K0GLPJZJ0YY0DS,control,2021-06-17T22:20:41Z,2021-06-17T22:22:31Z,110,0,0.25,0,0.75,0.25,0.25,0.25,0.6666666666666666,1,1,0.6666666666666666,0.75,0.75,0.6666666666666666,0.5,0.75,0.6666666666666666,0.6666666666666666,50,64
2021-06-17 22:19:19,2021-06-17 22:22:32,IP Address,73.80.90.55,100,192,True,2021-06-17 22:22:32,R_2AYJLaHlxaNScmG,NA,NA,NA,NA,39.9727020263671875,-74.24739837646484375,anonymous,EN,I agree to participate ,Quick and easy,wikiHow,NA,NA,NA,NA,NA,NA,"Full understanding
5
","Full understanding
5
","Full understanding
5
","Full understanding
5
","Full understanding
5
",2,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,70,60,25,25,Some,Some,Some,Some,About half the time,About half the time,Somewhat,Somewhat,Extremely comfortable,Extremely comfortable,Regulate gun ownership,Strongly support,Strongly oppose,Somewhat safer,Strongly support,NA,REDACTED_DUE_TO_STATING_PERSONALLY_IDENTIFIABLE_INFORMATION,97966,NA,NA,e17ca3e8b58f04ccf546b79521aa019d0588a7ca6bbbfd30c41eb2876d00ac3f,3VHP9MDGRNK1JUCFDO9XX4ZSEACFC7,3YCT0L9OML8QSJGYIWD8VUHW9UISNO,control,2021-06-17T22:19:19Z,2021-06-17T22:22:32Z,193,0,0,1,0.75,0,0.35,0.4375,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.5,1,1,25,25
2021-06-17 22:19:21,2021-06-17 22:22:44,IP Address,71.239.123.249,100,202,True,2021-06-17 22:22:44,R_2feAANIhcSlO2xN,NA,NA,NA,NA,41.4705963134765625,-87.07830047607421875,anonymous,EN,I agree to participate ,Quick and easy,wikiHow,NA,NA,NA,NA,NA,NA,"Full understanding
5
","Full understanding
5
","Full understanding
5
","Full understanding
5
","Full understanding
5
","Full understanding
5
",Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,0,35,40,0,Some,Some,Not at all,Not at all,Once in a while,Once in a while,Somewhat,Not at all,Somewhat comfortable,Not at all comfortable,Regulate gun ownership,Strongly support,Somewhat support,Somewhat less safe,Strongly support,NA,NA,36326,NA,NA,04ee793436e1043157ad5a1913924fdeea38913297896f7dbba47e147e46a695,3C6FJU71TQT35FAA45MLGVSERL9UYT,3J94SKDEKHOG05RAH6MX6EVAH69D5Q,control,2021-06-17T22:19:21Z,2021-06-17T22:22:44Z,203,0,0,0.25,0.25,0,0.1,0.125,0.6666666666666666,0.6666666666666666,0,0,0.75,0.75,0.6666666666666666,0.5,0,0.6666666666666666,0,40,0
2021-06-17 22:19:24,2021-06-17 22:23:14,IP Address,104.8.152.30,100,230,True,2021-06-17 22:23:14,R_3mh2pVye2hqT6Er,NA,NA,NA,NA,41.8379058837890625,-88.084197998046875,anonymous,EN,I agree to participate ,Quick and easy,wikiHow,NA,NA,NA,NA,NA,NA,4,4,4,4,3,2,Neither agree nor disagree,Slightly agree,Slightly agree,Somewhat disagree,0,55,60,31,A lot,Not too much,Some,Not at all,Once in a while,Most of the time,Somewhat,A little,Extremely comfortable,Not too comfortable,Regulate gun ownership,Strongly support,Neither support nor oppose,Somewhat less safe,Strongly support,NA,NA,85235,NA,NA,de8863b05d62a6a88bcf0f29fe8bf5d5cef4ba476f7b6ffe1b3fb9a0d67ce4e0,3P4RDNWND5681ZKBOOW4N5PFKMDIJF,3BS6ERDL926CJ9ROMPW2YK9AD1KD66,control,2021-06-17T22:19:24Z,2021-06-17T22:23:14Z,230,0,0,0.5,0.25,0,0.15,0.1875,1,0.3333333333333333,0.6666666666666666,0,0.75,0.25,1,0.5,0.25,1,0.3333333333333333,60,31
2021-06-17 22:19:11,2021-06-17 22:23:38,IP Address,66.191.229.93,100,267,True,2021-06-17 22:23:38,R_1OCZ6FpolpvatES,NA,NA,NA,NA,36.549102783203125,-82.55840301513671875,anonymous,EN,I agree to participate ,Quick and easy,wikiHow,NA,NA,NA,NA,NA,NA,"Full understanding
5
","Full understanding
5
","Full understanding
5
",4,2,"No understanding
1
",Slightly disagree,Slightly agree,Strongly agree,Somewhat disagree,40,65,45,40,Some,Some,Some,Not too much,Once in a while,Most of the time,Very,Very,Extremely comfortable,Extremely comfortable,Regulate gun ownership,Somewhat support,Strongly oppose,No difference,Somewhat support,NA,None,35890,NA,NA,721566c38ca4f146238712dccd462497705c3b28d1a9f0cba95cbf598c1f1cd2,3FFJ6VRIL1O1ZTJP2GMY50AJLD80IR,3L55D8AUF9W4X1VGSCWJX5BLRB1CY5,control,2021-06-17T22:19:11Z,2021-06-17T22:23:38Z,267,0,0.25,1,0.5,0.25,0.4,0.4375,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.75,0.25,0.6666666666666666,0.75,0.75,1,1,45,40
2021-06-17 22:21:03,2021-06-17 22:23:52,IP Address,154.22.56.31,100,169,True,2021-06-17 22:23:52,R_2TH5OsaQt9gHNEg,NA,NA,NA,NA,37.751007080078125,-97.82199859619140625,anonymous,EN,I agree to participate ,Quick and easy,wikiHow,NA,NA,NA,NA,NA,NA,4,"Full understanding
5
","Full understanding
5
","Full understanding
5
",4,4,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly agree,77,50,50,82,Some,A lot,Some,Some,About half the time,About half the time,Somewhat,Somewhat,Somewhat comfortable,Somewhat comfortable,Regulate gun ownership,Somewhat support,Somewhat support,Somewhat safer,Somewhat support,NA,NA,39410,NA,NA,db83c4f76cdf581f30a19cfb230fbac30123d46744ceaa46982b3d1cd59ff1ed,3E13VNJ1NNV16I47YZQYJ5TTQ5DI1B,3J9UN9O9J2RU8K51UW2WSHUW5IV0J6,control,2021-06-17T22:21:03Z,2021-06-17T22:23:52Z,169,0,0.25,0.25,0.75,0.25,0.3,0.3125,0.6666666666666666,1,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,50,82
2021-06-17 22:21:24,2021-06-17 22:23:54,IP Address,68.96.236.4,100,150,True,2021-06-17 22:23:54,R_XgO2i75081vSuAx,NA,NA,NA,NA,36.034393310546875,-114.97049713134765625,anonymous,EN,I agree to participate ,Quick and easy,wikiHow,NA,NA,NA,NA,NA,NA,3,4,"Full understanding
5
",4,3,2,Slightly agree,Slightly agree,Somewhat agree,Slightly disagree,83,6,16,94,Some,A lot,Not too much,Not too much,Most of the time,About half the time,A little,Very,Somewhat comfortable,Extremely comfortable,Protect the right to own guns,Somewhat oppose,Strongly oppose,Somewhat safer,Somewhat oppose,NA,Thank you very much.,82215,NA,NA,410a71c3c3b8eb4e3f63637a21a134df8e00ca339012cc34cef478fafdcad966,34YB12FSQYOK6GK11X9TIL4G93HGMQ,31D0ZWOD09YJ7R2X0QPJZIRDFV10AQ,control,2021-06-17T22:21:24Z,2021-06-17T22:23:54Z,150,1,0.75,1,0.75,0.75,0.85,0.875,0.6666666666666666,1,0.3333333333333333,0.3333333333333333,0.25,0.5,0.6666666666666666,0.25,0.75,0.6666666666666666,1,16,94
