layer2_treatmentcontrast,layer3_specificoutcome,est,se,p,p.adj
31 pro - 22 pro,right_to_own_importance_w2,0.00575956997279359,0.0289556485898696,0.842358257378069,0.998262480573056
anti 31 - anti 22,right_to_own_importance_w2,-0.000918963492640222,0.0104785714191644,0.93012659390653,0.998262480573056
31 neutral pro - 22 neutral pro,right_to_own_importance_w2,-0.000112555616075455,0.0516784709475907,0.998262480573056,0.998262480573056
31 neutral anti - 22 neutral anti,right_to_own_importance_w2,-0.00671134551201298,0.0433244172296523,0.876912450475586,0.998262480573056
31 neutral pro - 31 neutral anti,right_to_own_importance_w2,0.0706547515680531,0.0482805615926096,0.143547982070887,0.695799009825542
22 neutral pro - 22 neutral anti,right_to_own_importance_w2,0.0640559616721155,0.0470922077999733,0.173949752456386,0.695799009825542
31 pro - 22 pro,concealed_safe_w2,0.0357482487743262,0.0147436249291969,0.0154323195686134,0.185187834823361
anti 31 - anti 22,concealed_safe_w2,-0.0118402444586231,0.0169996768666801,0.486217482802176,0.972434965604352
31 neutral pro - 22 neutral pro,concealed_safe_w2,0.00335049361404474,0.0295240538623861,0.909661383679324,0.998262480573056
31 neutral anti - 22 neutral anti,concealed_safe_w2,0.0228394322363874,0.0296806677526141,0.441706325995654,0.972434965604352
31 neutral pro - 31 neutral anti,concealed_safe_w2,0.0119891257581511,0.0304086874280608,0.693436565936678,0.998262480573056
22 neutral pro - 22 neutral anti,concealed_safe_w2,0.0314780643804937,0.028723259241593,0.27328281587886,0.81984844763658
