layer1,layer2,layer3,p.adj,est,se
platform,overall,overall,6.71235314813591e-05,,
platform,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,overall,0.000493729828862578,,
platform,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,pro_fraction_chosen,0.000158631486346808,0.127981433086966,0.0283032291770155
platform,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,positive_interactions,1,0.0958738555913863,0.102988300772225
platform,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,platform_duration,1,36.0152657362841,58.4445916537652
platform,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,overall,0.610044135952329,,
platform,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,pro_fraction_chosen,,-0.0519696949824038,0.0217966255313285
platform,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,positive_interactions,,0.0768871620035786,0.0870278976057936
platform,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,platform_duration,,14.7961003323665,49.3418015696043
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,overall,0.000834362846342598,,
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,pro_fraction_chosen,0.00407106039143375,0.165549524111254,0.0460944144344824
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,positive_interactions,1,-0.0711719002069519,0.0900013431375142
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,platform_duration,0.00407106039143375,-293.093157129772,80.0249215988303
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,overall,0.130571565668864,,
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,pro_fraction_chosen,,-0.115599340612214,0.0430899262910059
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,positive_interactions,,0.170128258478748,0.151552309658146
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,platform_duration,,-38.8897147089997,88.2887975115974
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.anti:recsys.31,overall,6.71235314813591e-05,,
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.anti:recsys.31,pro_fraction_chosen,0.00235337528545458,0.200637204277904,0.0513692483614057
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.anti:recsys.31,positive_interactions,0.466973776186092,-0.246496040595113,0.130129674398019
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.anti:recsys.31,platform_duration,0.00954371080900059,-261.899642221465,77.928518686822
platform,attitude.neutral:seed.pro:recsys.22.vs.attitude.neutral:seed.anti:recsys.22,overall,1,,
platform,attitude.neutral:seed.pro:recsys.22.vs.attitude.neutral:seed.anti:recsys.22,pro_fraction_chosen,,-0.0805116604455645,0.0366368161482991
platform,attitude.neutral:seed.pro:recsys.22.vs.attitude.neutral:seed.anti:recsys.22,positive_interactions,,-0.00519588190941253,0.116726179629647
platform,attitude.neutral:seed.pro:recsys.22.vs.attitude.neutral:seed.anti:recsys.22,platform_duration,,-7.69619980069319,90.7719034533955
gunpolicy,overall,overall,0.23524415633828,,
gunpolicy,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,overall,,,
gunpolicy,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,gun_index_w2,,0.0161553271350599,0.0111101812945772
gunpolicy,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,overall,,,
gunpolicy,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,gun_index_w2,,-0.00683306987847077,0.00774443747827705
gunpolicy,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,overall,,,
gunpolicy,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,gun_index_w2,,-0.00495729064775752,0.0218794614190326
gunpolicy,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,overall,,,
gunpolicy,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,gun_index_w2,,-0.0185991168359641,0.0171132395424555
gunpolicy,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.anti:recsys.31,overall,,,
gunpolicy,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.anti:recsys.31,gun_index_w2,,0.0466794670381901,0.019981039864288
gunpolicy,attitude.neutral:seed.pro:recsys.22.vs.attitude.neutral:seed.anti:recsys.22,overall,,,
gunpolicy,attitude.neutral:seed.pro:recsys.22.vs.attitude.neutral:seed.anti:recsys.22,gun_index_w2,,0.0330376408499836,0.0193179181574532
media,overall,overall,0.427124145799859,,
media,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,overall,,,
media,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,trust_majornews_w2,,-0.0351718874910388,0.0178863800848884
media,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,trust_youtube_w2,,-0.0383635765987673,0.0188121668360569
media,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,fabricate_majornews_w2,,-0.0173799366001554,0.0149317154339807
media,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,fabricate_youtube_w2,,-0.0117631167591411,0.0158073835099451
media,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,overall,,,
media,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,trust_majornews_w2,,-0.0134993920392218,0.0134255476237513
media,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,trust_youtube_w2,,0.00359267841972599,0.0155270280499694
media,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,fabricate_majornews_w2,,-0.00557061297129069,0.0104828711387214
media,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,fabricate_youtube_w2,,0.00835750094959609,0.0121270180647785
