subset,interaction,est,se,t,p,p.adj
attitude.anti,recsys.31:pol_interest_hi,0.0182186144687294,0.0248685099719006,0.732597750702192,0.464127661651355,0.851854522949815
attitude.pro,recsys.31:pol_interest_hi,-0.00243490613289607,0.0128024421391422,-0.190190754735113,0.84922845491142,0.893924689380443
attitude.neutral.seed.anti,recsys.31:pol_interest_hi,0.0387062590956248,0.0373083443648069,1.0374692245024,0.300425297190715,0.851854522949815
attitude.neutral.seed.pro,recsys.31:pol_interest_hi,-0.0143960412723241,0.0327347258877914,-0.439778885629625,0.660477196142886,0.851854522949815
attitude.anti,recsys.31:age_hi,-0.0189755112855703,0.0243824380323233,-0.778245032773785,0.436771860128633,0.851854522949815
attitude.pro,recsys.31:age_hi,-0.000244967438415814,0.0130447705768681,-0.0187789763700565,0.985024102096996,0.985024102096996
attitude.neutral.seed.anti,recsys.31:age_hi,0.0167694409519428,0.0385082706532837,0.43547634488522,0.663557066794085,0.851854522949815
attitude.neutral.seed.pro,recsys.31:age_hi,0.0239652117789949,0.0307861337972122,0.778441747081767,0.437044776275695,0.851854522949815
attitude.anti,recsys.31:male,-0.050466484153352,0.024541490956116,-2.05637400937025,0.0402355323946561,0.402355323946561
attitude.pro,recsys.31:male,-0.0183522337094853,0.0133754671190974,-1.37208170347053,0.170586391319575,0.851854522949815
attitude.neutral.seed.anti,recsys.31:male,-0.0108232087123274,0.038390711945088,-0.281922583978342,0.778214146502189,0.893924689380443
attitude.neutral.seed.pro,recsys.31:male,0.06229100270024,0.0291366519512352,2.13789157396992,0.0334956141248094,0.402355323946561
attitude.anti,recsys.31:freq_youtube_hi,-0.0102237135600163,0.0248954620626053,-0.410665748412558,0.681483618359852,0.851854522949815
attitude.pro,recsys.31:freq_youtube_hi,0.00626854625199403,0.0133807730879856,0.468474146506713,0.639627525127285,0.851854522949815
attitude.neutral.seed.anti,recsys.31:freq_youtube_hi,-0.0206489241703592,0.0379044196633914,-0.544762968374958,0.586356440463313,0.851854522949815
attitude.neutral.seed.pro,recsys.31:freq_youtube_hi,0.047266938476714,0.02971231590728,1.59081973361534,0.112913842638933,0.752758950926217
attitude.anti,recsys.31:college,0.018521304885726,0.0273196743789235,0.677947497793559,0.498100840002103,0.851854522949815
attitude.pro,recsys.31:college,-0.0138401171415609,0.0124987580474773,-1.1073193903737,0.268630416591881,0.851854522949815
attitude.neutral.seed.anti,recsys.31:college,-0.00751900234305088,0.0390017742459805,-0.192786161358436,0.847268224053065,0.893924689380443
attitude.neutral.seed.pro,recsys.31:college,0.0363831889976414,0.0320637989870824,1.1347123593277,0.257582643752566,0.851854522949815
