subset,interaction,est,se,t,p,p.adj
attitude.anti,recsys.31:pol_interest_hi,0.0312744613103587,0.0205811698182559,1.51956674895212,0.12899002044165,0.793563501981665
attitude.pro,recsys.31:pol_interest_hi,-0.0011954205697433,0.0111830421193392,-0.10689583004217,0.914894285817669,0.914894285817669
attitude.neutral.seed.anti,recsys.31:pol_interest_hi,-0.0129495341490205,0.0309972962750466,-0.417763344070919,0.676333136331761,0.914894285817669
attitude.neutral.seed.pro,recsys.31:pol_interest_hi,-0.0189536568540706,0.0278723673831909,-0.680016038591007,0.496861091641994,0.822882970869043
attitude.anti,recsys.31:age_hi,-0.0131703117870672,0.0200062394538775,-0.658310214542324,0.510511588216597,0.822882970869043
attitude.pro,recsys.31:age_hi,0.00724770668188067,0.0103234271126709,0.70206401447683,0.482810309465708,0.822882970869043
attitude.neutral.seed.anti,recsys.31:age_hi,-0.0300039654707689,0.031317943473973,-0.958043924426388,0.338586565078121,0.822882970869043
attitude.neutral.seed.pro,recsys.31:age_hi,0.00380441634704323,0.0274604498191945,0.138541661629446,0.889875872954243,0.914894285817669
attitude.anti,recsys.31:male,-0.00666300114351674,0.0201463965298204,-0.33072917698479,0.740928059049301,0.914894285817669
attitude.pro,recsys.31:male,0.0260942798755127,0.0105324967031896,2.47750183179363,0.0134026264566111,0.268052529132222
attitude.neutral.seed.anti,recsys.31:male,-0.0448045109244974,0.030050456724983,-1.49097603855213,0.136711347757914,0.793563501981665
attitude.neutral.seed.pro,recsys.31:male,0.0258598923897489,0.0275558728620962,0.938453030291041,0.348527667664399,0.822882970869043
attitude.anti,recsys.31:freq_youtube_hi,0.00390100179354228,0.0203560418285123,0.191638523167025,0.848069724320096,0.914894285817669
attitude.pro,recsys.31:freq_youtube_hi,0.00351693025722583,0.0106851780341988,0.329141006913466,0.742121278089075,0.914894285817669
attitude.neutral.seed.anti,recsys.31:freq_youtube_hi,-0.00884565301786561,0.0313079022439871,-0.282537391005317,0.777669351308914,0.914894285817669
attitude.neutral.seed.pro,recsys.31:freq_youtube_hi,0.0271741971279295,0.0272886254784359,0.995806738210509,0.319892613980083,0.822882970869043
attitude.anti,recsys.31:college,-0.0138818704141781,0.0199583773966691,-0.695541032132944,0.486900564598502,0.822882970869043
attitude.pro,recsys.31:college,0.00710843499325352,0.0101450033420439,0.700683356484867,0.483671319031436,0.822882970869043
attitude.neutral.seed.anti,recsys.31:college,0.0195354311963828,0.031453445895137,0.621090333361634,0.534873931064878,0.822882970869043
attitude.neutral.seed.pro,recsys.31:college,0.0389521716941647,0.0275901297969208,1.41181545650111,0.158712700396333,0.793563501981665
