layer1,layer2,layer3,p.adj,est,se
platform,overall,overall,1.35581321550658e-07,,
platform,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,overall,0.0515620183896311,,
platform,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,pro_fraction_chosen,,0.0760268156386966,0.023829856599535
platform,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,positive_interactions,,0.0185883497414272,0.121042460227896
platform,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,platform_duration,,10.4446492644511,50.6513251084216
platform,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,overall,0.00198792304398995,,
platform,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,pro_fraction_chosen,0.000541000156227775,-0.1039900613108,0.0261958189558136
platform,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,positive_interactions,1,-0.0426160243996759,0.0811516072091626
platform,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,platform_duration,0.561025922420229,80.0872456387142,56.4056967785321
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,overall,0.0126093620039467,,
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,pro_fraction_chosen,0.0596208036037538,0.105500621119602,0.0399065343439974
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,positive_interactions,0.115422616402245,-0.340981415721487,0.158933004696152
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,platform_duration,1,37.7524843928309,71.7574068113453
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,overall,0.0212672507473431,,
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,pro_fraction_chosen,0.0513884312137528,-0.105031211640774,0.0389895355296066
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,positive_interactions,0.544836166054142,0.234626527599771,0.16345020952904
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,platform_duration,1,34.3842991476361,80.0599204606814
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,overall,6.77906607753291e-08,,
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,pro_fraction_chosen,2.70497209756668e-07,-0.233695660675104,0.0422683278628525
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,positive_interactions,1,0.0575058818082713,0.153470009277743
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,platform_duration,1,52.9152892826305,73.6231859295404
platform,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,overall,0.0169124337930812,,
platform,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,pro_fraction_chosen,1,-0.0231638279147276,0.0364479924587931
platform,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,positive_interactions,0.0145557278758597,-0.518102061512987,0.167566225244226
platform,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,platform_duration,1,56.2834745278253,78.337850736922
mwpolicy,overall,overall,6.34792417957597e-06,,
mwpolicy,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,overall,1,,
mwpolicy,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,mw_index_w2,,4.46514486329708e-07,0.00654639706921933
mwpolicy,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,overall,0.568265266546578,,
mwpolicy,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,mw_index_w2,,0.0144372212810514,0.0121985778196125
mwpolicy,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,overall,0.568265266546578,,
mwpolicy,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,mw_index_w2,,-0.0181379996241194,0.0146801736266917
mwpolicy,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,overall,0.568265266546578,,
mwpolicy,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,mw_index_w2,,0.0270861880339064,0.0188841832822073
mwpolicy,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,overall,6.34792417957597e-06,,
mwpolicy,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,mw_index_w2,6.34792417957597e-06,0.0830045405469815,0.016483212236394
mwpolicy,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,overall,0.176333356282616,,
mwpolicy,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,mw_index_w2,,0.0377803528889557,0.0173292165597512
media,overall,overall,0.832599325141693,,
media,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,overall,,,
media,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,trust_majornews_w2,,0.00172248138279008,0.0151049377892313
media,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,trust_youtube_w2,,-0.00286343262697575,0.0176285490746456
media,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,fabricate_majornews_w2,,0.0190283950563525,0.0119200252219327
media,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,fabricate_youtube_w2,,0.00881090342004987,0.0134642901933875
media,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,overall,,,
media,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,trust_majornews_w2,,0.0215078521949776,0.016090226362862
media,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,trust_youtube_w2,,-0.0120827896352526,0.0177970494130297
media,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,fabricate_majornews_w2,,-0.00501392528244626,0.0150465924805583
media,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,fabricate_youtube_w2,,-0.0213656403660835,0.0151743738202955
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,overall,,,
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,trust_majornews_w2,,0.0123159395685973,0.0228841470433605
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,trust_youtube_w2,,-0.00502153619973966,0.0258052697396974
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,fabricate_majornews_w2,,-0.00196437775954583,0.0193592452773174
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,fabricate_youtube_w2,,0.0184574825541296,0.0218502927527275
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,overall,,,
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,trust_majornews_w2,,0.0111742853150247,0.0212402228750572
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,trust_youtube_w2,,0.0211410105945096,0.0237097483152089
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,fabricate_majornews_w2,,0.0171689451203703,0.0195610935319464
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,fabricate_youtube_w2,,-0.0028539292290658,0.0194909559510239
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,overall,,,
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,trust_majornews_w2,,-0.00423668210842287,0.0215182134034346
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,trust_youtube_w2,,0.0170020108806614,0.0255099909134896
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,fabricate_majornews_w2,,-0.00152734841605839,0.0199210001618513
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,fabricate_youtube_w2,,-0.0229097889958542,0.0217065067457557
media,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,overall,,,
media,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,trust_majornews_w2,,-0.00309502785485027,0.0226548734737137
media,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,trust_youtube_w2,,-0.0091605359135879,0.0239730374426101
media,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,fabricate_majornews_w2,,-0.0206606712959745,0.0190740182292727
media,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,fabricate_youtube_w2,,-0.00159837721265876,0.0196670725896436
affpol,overall,overall,0.211664672113542,,
affpol,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,overall,,,
affpol,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,affpol_ft_w2,,-0.82074165249719,1.22471242488749
affpol,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,affpol_smart_w2,,-0.0286223674349874,0.0173405342866257
affpol,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,affpol_comfort_w2,,0.00821635961904005,0.0195243450505551
affpol,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,overall,,,
