layer1,layer2,layer3,p.adj,est,se
platform,overall,overall,6.57576136433597e-11,,
platform,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,overall,0.188053944590248,,
platform,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,pro_fraction_chosen,,0.0488053963343564,0.0180593965675908
platform,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,positive_interactions,,0.034261605139137,0.0735723449319127
platform,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,platform_duration,,9.79159941325406,95.1576124804711
platform,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,overall,1.48523044378306e-07,,
platform,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,pro_fraction_chosen,2.66092444828267e-08,-0.12420275192287,0.020693483883004
platform,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,positive_interactions,1,0.0197254304310966,0.0707108576337186
platform,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,platform_duration,1,-42.2851861228287,77.8619143855089
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,overall,0.000161486139329646,,
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,pro_fraction_chosen,0.00298236888437145,0.0964657686868624,0.0276668478631448
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,positive_interactions,1,-0.029255558231429,0.110017098792735
platform,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,platform_duration,0.00298236888437145,438.077288684057,125.079890830523
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,overall,0.144602606058245,,
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,pro_fraction_chosen,,-0.0770487517935627,0.0306521575756038
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,positive_interactions,,0.0202172346353753,0.0966170731658387
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,platform_duration,,112.677145515381,127.155442351257
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,overall,3.28788068216799e-11,,
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,pro_fraction_chosen,1.43600637011891e-09,-0.209936537205667,0.0324683521559932
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,positive_interactions,1,-0.0565440182663503,0.101365090242268
platform,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,platform_duration,1,-191.811665180197,147.490560504395
platform,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,overall,0.537040317748026,,
platform,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,pro_fraction_chosen,,-0.0364220167252422,0.0255293428718148
platform,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,positive_interactions,,-0.106016811133155,0.107041924730916
platform,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,platform_duration,,133.58847798848,99.7899819397394
mwpolicy,overall,overall,0.000355836990873273,,
mwpolicy,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,overall,0.730311049962829,,
mwpolicy,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,mw_index_w2,,0.00534480878836235,0.00520196856361861
mwpolicy,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,overall,0.00922130221337465,,
mwpolicy,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,mw_index_w2,0.006938826418696,0.0311866979750204,0.00994669239773392
mwpolicy,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,overall,1,,
mwpolicy,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,mw_index_w2,,0.00362725083561061,0.0135843048281775
mwpolicy,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,overall,0.00922130221337465,,
mwpolicy,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,mw_index_w2,0.00922130221337465,0.0464104368601747,0.0152131069558004
mwpolicy,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,overall,0.000355836990873273,,
mwpolicy,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,mw_index_w2,0.000118612330291091,0.0622744785068866,0.0148866632862158
mwpolicy,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,overall,0.48700700793203,,
mwpolicy,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,mw_index_w2,,0.0194912924823225,0.0139458572894512
media,overall,overall,0.984925249864973,,
media,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,overall,,,
media,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,trust_majornews_w2,,0.0113357217182982,0.0115425585490063
media,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,trust_youtube_w2,,-0.00459425178483763,0.0146992749927821
media,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,fabricate_majornews_w2,,-0.00113045510950527,0.0113536295362633
media,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,fabricate_youtube_w2,,0.0014212876905666,0.0127799959075536
media,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,overall,,,
media,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,trust_majornews_w2,,-0.00144638078808002,0.0149279383114474
media,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,trust_youtube_w2,,-0.013030940889141,0.015711940483301
media,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,fabricate_majornews_w2,,-0.000336431621672406,0.0133598028314273
media,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,fabricate_youtube_w2,,-0.00526507022627709,0.0129858497353596
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,overall,,,
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,trust_majornews_w2,,0.00575420049649789,0.019499065711265
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,trust_youtube_w2,,0.00939471121087526,0.0219453820397087
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,fabricate_majornews_w2,,0.00126351894779153,0.0192180754508341
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,fabricate_youtube_w2,,0.00827197104665511,0.0180207952605422
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,overall,,,
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,trust_majornews_w2,,-0.0223611906297683,0.0203772672119522
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,trust_youtube_w2,,-0.0187641033661853,0.0226099457941196
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,fabricate_majornews_w2,,-0.0131514539782697,0.0181604256348352
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,fabricate_youtube_w2,,-0.0280721012236121,0.0187724544704106
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,overall,,,
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,trust_majornews_w2,,-0.0237929573501925,0.0190175187569196
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,trust_youtube_w2,,-0.0083598911646684,0.0227894320352483
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,fabricate_majornews_w2,,-0.0120580294140189,0.0186868195117949
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,fabricate_youtube_w2,,-0.0240605665030453,0.017614491924459
media,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,overall,,,
media,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,trust_majornews_w2,,0.00432243377607366,0.0208762989692143
media,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,trust_youtube_w2,,0.0197989234123921,0.0217919088657201
media,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,fabricate_majornews_w2,,0.0023569435120423,0.0186996111269596
media,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,fabricate_youtube_w2,,0.0122835057672219,0.0192161638577757
affpol,overall,overall,0.270460211834503,,
affpol,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,overall,,,
affpol,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,affpol_ft_w2,,1.08484652802115,1.14547718160003
affpol,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,affpol_smart_w2,,-0.00600866111490733,0.0152609353641577
affpol,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,affpol_comfort_w2,,-0.00578252695726794,0.0153295861129536
