layer2_treatmentcontrast,layer3_specificoutcome,est,se,p,p.adj
31 pro - 22 pro,mw_restrict_w2,-0.00245371423088709,0.0121508011067122,0.83999006919477,0.83999006919477
anti 31 - anti 22,mw_restrict_w2,0.040093735787796,0.0170553079525259,0.0188515480649807,0.0565546441949421
31 neutral pro - 22 neutral pro,mw_restrict_w2,-0.0199726241418631,0.0266161105058746,0.453124712994213,0.582072372597201
31 neutral anti - 22 neutral anti,mw_restrict_w2,0.0350467166059258,0.0249411251055266,0.160159302313119,0.274558803965347
31 neutral anti - 31 neutral pro,mw_restrict_w2,0.0779090779427226,0.0264784686681687,0.00330335228112859,0.0132134091245144
22 neutral anti - 22 neutral pro,mw_restrict_w2,0.0228897371949337,0.0252156512244272,0.364139934916425,0.546209902374637
31 pro - 22 pro,mw_help_w2,-0.00701078514484151,0.0104358107560985,0.50180594948876,0.582072372597201
anti 31 - anti 22,mw_help_w2,0.0357165726628428,0.0203437299048547,0.0793354826459269,0.158670965291854
31 neutral pro - 22 neutral pro,mw_help_w2,-0.0155976386477329,0.0250482404377848,0.533566341547434,0.582072372597201
31 neutral anti - 22 neutral anti,mw_help_w2,0.0505543598124945,0.027510088417975,0.0662938564465822,0.158670965291854
31 neutral anti - 31 neutral pro,mw_help_w2,0.144453673441942,0.0263608491952947,4.92534630029865e-08,5.91041556035838e-07
22 neutral anti - 22 neutral pro,mw_help_w2,0.0783016749817144,0.0263177989264555,0.00297078153246349,0.0132134091245144
