study_key,study_label,family_key,family_label,contrast_key,contrast_label,contrast_display,outcome,estimate,stderr,ci_low,ci_high,p_value,mde,n,p_adjusted,layer1_p_adjusted,layer2_p_adjusted
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,ideologues_liberal,Ideologues (liberal),True,pro_fraction_chosen,0.07602681563869551,0.023658762771398233,0.029655640606754977,0.12239799067063604,0.001311397361457578,0.06628204005919068,1617,0.005245589445830312,1.0802287917499598e-06,0.010491178891660624
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,ideologues_liberal,Ideologues (liberal),True,positive_interactions,0.018588349741425092,0.12025232843721312,-0.2171062139955126,0.2542829134783628,0.8771541112320993,0.33689714579336194,1679,1.0,1.0802287917499598e-06,0.010491178891660624
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,ideologues_liberal,Ideologues (liberal),True,platform_duration,,,,,,,0,,1.0802287917499598e-06,0.010491178891660624
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,ideologues_conservative,Ideologues (conservative),True,pro_fraction_chosen,-0.10399006131079974,0.025999678490524095,-0.15494943115222698,-0.05303069146937252,6.343161994903923e-05,0.07284031493474198,1617,0.0002537264797961569,1.0802287917499598e-06,0.0007611794393884708
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,ideologues_conservative,Ideologues (conservative),True,positive_interactions,-0.042616024399675434,0.08059275138245628,-0.20057781710928974,0.11534576830993887,0.596956443555037,0.22578746096014296,1679,1.0,1.0802287917499598e-06,0.0007611794393884708
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,ideologues_conservative,Ideologues (conservative),True,platform_duration,,,,,,,0,,1.0802287917499598e-06,0.0007611794393884708
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,moderates_liberal_seed,Moderates (liberal seed),True,pro_fraction_chosen,0.10550062111960379,0.03945107037338552,0.02817652318776817,0.1828247190514394,0.007490454328375584,0.11052553559681132,1617,0.029961817313502337,1.0802287917499598e-06,0.029961817313502337
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,moderates_liberal_seed,Moderates (liberal seed),True,positive_interactions,-0.34098141572148916,0.1572427057271843,-0.6491771189467703,-0.03278571249620793,0.03012037057791339,0.44052884002136683,1679,0.06024074115582678,1.0802287917499598e-06,0.029961817313502337
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,moderates_liberal_seed,Moderates (liberal seed),True,platform_duration,,,,,,,0,,1.0802287917499598e-06,0.029961817313502337
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,moderates_conservative_seed,Moderates (conservative seed),True,pro_fraction_chosen,-0.10503121164077378,0.038558607397031604,-0.18060608213895574,-0.029456341142591838,0.006450883947121344,0.10802522451454508,1617,0.025803535788485377,1.0802287917499598e-06,0.029961817313502337
