study_key,study_label,family_key,family_label,contrast_key,contrast_label,outcome,estimate,stderr,ci_low,ci_high,p_value,mde,n,p_adjusted,layer1_p_adjusted,layer2_p_adjusted
study3,Study 3 – Minimum Wage (YouGov),platform,Platform interactions,liberal_ideologues,Ideologues (liberal),pro_fraction_chosen,0.05005996391347264,0.01794890302928024,0.014880113976083367,0.0852398138508619,0.005286675978385391,0.05028538140817459,945,0.021146703913541565,6.501451821350201e-08,0.02819560521805542
study3,Study 3 – Minimum Wage (YouGov),platform,Platform interactions,liberal_ideologues,Ideologues (liberal),positive_interactions,0.03333612849795299,0.07335179426899109,-0.11043338826926956,0.17710564526517553,0.6494911824947578,0.20550130254606896,951,1.0,6.501451821350201e-08,0.02819560521805542
study3,Study 3 – Minimum Wage (YouGov),platform,Platform interactions,liberal_ideologues,Ideologues (liberal),platform_duration,,,,,,,0,,6.501451821350201e-08,0.02819560521805542
study3,Study 3 – Minimum Wage (YouGov),platform,Platform interactions,conservative_ideologues,Ideologues (conservative),pro_fraction_chosen,-0.12351130806995168,0.020601521337754974,-0.16389028989195142,-0.08313232624795194,2.031703694171938e-09,0.057716917650493235,847,8.126814776687752e-09,6.501451821350201e-08,3.250725910675101e-08
study3,Study 3 – Minimum Wage (YouGov),platform,Platform interactions,conservative_ideologues,Ideologues (conservative),positive_interactions,0.013507732613715998,0.06930980678076058,-0.12233948867657472,0.14935495390400672,0.8454796912883993,0.1941773301472448,859,1.0,6.501451821350201e-08,3.250725910675101e-08
study3,Study 3 – Minimum Wage (YouGov),platform,Platform interactions,conservative_ideologues,Ideologues (conservative),platform_duration,,,,,,,0,,6.501451821350201e-08,3.250725910675101e-08
study3,Study 3 – Minimum Wage (YouGov),platform,Platform interactions,moderate_liberal_seed,Moderates (liberal seed),pro_fraction_chosen,0.09166665955023474,0.027567994694556473,0.037633389948904056,0.14569992915156543,0.0008838314261105928,0.07723408642928614,428,0.0035353257044423714,6.501451821350201e-08,0.007070651408884743
study3,Study 3 – Minimum Wage (YouGov),platform,Platform interactions,moderate_liberal_seed,Moderates (liberal seed),positive_interactions,-0.006425206710697552,0.1071477828507407,-0.2164348610981493,0.2035844476767542,0.9521828421245457,0.3001836445882133,434,1.0,6.501451821350201e-08,0.007070651408884743
study3,Study 3 – Minimum Wage (YouGov),platform,Platform interactions,moderate_liberal_seed,Moderates (liberal seed),platform_duration,,,,,,,0,,6.501451821350201e-08,0.007070651408884743
study3,Study 3 – Minimum Wage (YouGov),platform,Platform interactions,moderate_conservative_seed,Moderates (conservative seed),pro_fraction_chosen,-0.07659109942753083,0.030283638094534018,-0.1359470300928175,-0.017235168762244152,0.011434736740945528,0.08484219283632927,420,0.04573894696378211,6.501451821350201e-08,0.04573894696378211
